date,time,animal_count,confidence,class,class_name
2022-08-10,15:47:01,1,0.2905242,10.0,Sebastes
2022-08-12,19:15:44,1,0.8039633,10.0,Sebastes
2022-08-12,19:15:47,1,0.6125435,10.0,Sebastes
2022-08-12,19:15:50,1,0.7446273,10.0,Sebastes
2022-08-12,19:45:44,1,0.5274154,10.0,Sebastes
2022-08-12,19:45:47,1,0.5889254,10.0,Sebastes
2022-08-12,19:45:50,2,0.57425934,3.0,Chionoecetes
2022-08-12,19:45:50,2,0.49709445,10.0,Sebastes
2022-08-12,20:15:50,1,0.2609231,10.0,Sebastes
2022-08-12,20:45:44,1,0.8569883,10.0,Sebastes
2022-08-12,20:45:47,1,0.8579931,10.0,Sebastes
2022-08-12,20:45:50,1,0.82904005,10.0,Sebastes
2022-08-12,21:15:44,1,0.7582868,10.0,Sebastes
2022-08-12,21:15:50,1,0.78146076,10.0,Sebastes
2022-08-12,21:45:44,1,0.4347978,10.0,Sebastes
2022-08-12,21:45:47,2,0.33493137,10.0,Sebastes
2022-08-12,21:45:47,2,0.29420042,10.0,Sebastes
2022-08-12,21:45:50,1,0.3815978,10.0,Sebastes
2022-08-12,22:15:44,1,0.8206024,10.0,Sebastes
2022-08-12,22:15:47,1,0.83270997,10.0,Sebastes
2022-08-12,22:15:50,2,0.8307077,10.0,Sebastes
2022-08-12,22:15:50,2,0.29258662,2.0,Bubble
2022-08-12,22:45:44,1,0.77175,10.0,Sebastes
2022-08-12,22:45:47,1,0.7466253,10.0,Sebastes
2022-08-12,22:45:50,1,0.2885379,10.0,Sebastes
2022-08-12,23:15:44,1,0.76905715,10.0,Sebastes
2022-08-12,23:15:47,1,0.81208575,10.0,Sebastes
2022-08-12,23:15:50,2,0.6605961,10.0,Sebastes
2022-08-12,23:15:50,2,0.3151364,10.0,Sebastes
2022-08-12,23:45:44,1,0.79605156,10.0,Sebastes
2022-08-12,23:45:47,1,0.78276724,10.0,Sebastes
2022-08-12,23:45:50,1,0.8600809,10.0,Sebastes
2022-08-13,01:15:47,1,0.4159395,10.0,Sebastes
2022-08-13,02:45:44,1,0.41643262,10.0,Sebastes
2022-08-13,02:45:47,1,0.30090365,10.0,Sebastes
2022-08-13,02:45:50,1,0.60993695,10.0,Sebastes
2022-08-13,04:15:47,1,0.48851195,10.0,Sebastes
